berita,label
DPD Gerindra Jawa Barat kecewa dengan Wali Kota nonaktif Bandung Yana Mulyana yang telah ditetapkan sebagai tersangka oleh Komisi Pemberantasan Korupsi (KPK) terkait dugaan suap pengadaan CCTV dan penyediaan jaringan internet Program Bandung Smart City.,0
,0
"Pada H-5 Idulfitri 2023 atau Senin (17/4) ini, jumlah pemudik yang menyeberang dari Pulau Jawa ke Sumatra via Pelabuhan Bakauheni (Lampung) mencapai 46.008 orang.",0
"Sepekan jelang lebaran atau hari raya Idulfitri 1444 H, sudah ribuan motor dan belasan ribu penumpang diseberangkan dari Pelabuhan Ciwandan (Banten) ke Pelabuhan Bakauheni (Lampung).",0
Polda Daerah Istimewa Yogyakarta (DIY) menyiapkan sistem rekayasa lalu lintas contra flow dan one way di tol Solo-Yogyakarta yang difungsionalkan untuk arus mudik-balik Lebaran 2023. Jalur tol fungsional itu telah dibuka sejak Sabtu (15/4).,0
Dua warga negara asing (WNA) dari Rusia dan Slovakia dideportasi dari Bali karena kesalahan masing-masing di Pulau Dewata itu pada Minggu (16/4) lalu.,0
"Polda Banten memerintahkan anggotanya tak ragu gunakan senjata untuk menindak bajing loncat yang beraksi pada antrean truk menuju Pelabuhan Ciwandan tepatnya di Jalan Lingkar Selatan (JLS) Kota Cilegon, Banten.",0
"Sejumlah penyidik dari Komisi Pemberantasan Korupsi (KPK) menggeledah berbagai ruangan di Balai Kota Bandung, Jawa Barat, Senin (17/4) siang.",0
Sebanyak 38.595 orang dilaporkan masuk wilayah Daerah Istimewa Yogyakarta (DIY) menggunakan transportasi umum dalam beberapa hari menjelang Lebaran 2023.,0
"Setidaknya sepekan jelang Idulfitri 1444 Hijriah, telah terjadi peningkatan pemudik lebaran yang memenuhi Pelabuhan Soekarno Hatta, Makassar, Sulawesi Selatan.",0
Kabid Humas Polda Aceh Kombes Pol Joko Krisdiyanto mengatakan pihaknya memang telah menghentikan proses penyidikan terhadap kasus dugaan penyelundupan 24 ton BBM ilegal beberapa waktu lalu.,0
Kanwil Kemenkumham Jawa Timur mengusulkan 15.408 narapidana di 39 lapas dan rutan bisa memperoleh remisi khusus Idulfitri 2023.,0
"Pemudik asal Sumatera yang menyeberang ke Pulau Jawa melalui Pelabuhan Bakauheni pada arus mudik H-6 Idul Fitri 1443 Hijriah, Minggu (16/4), tercatat sebanyak 22.700 orang.",0
"Sekar Krisnauli Tanjung resmi menjabat sebagai Ketua DPD II Partai Golkar Kota Solo. Putri Akbar Tanjung itu adalah calon tunggal dalam Musyawarah Daerah Luar Biasa (Musdalub) yang digelar di Kantor DPD Partai Golkar Kota Solo, Minggu (16/4) sore.",0
"Kecelakaan melibatkan Honda CR-V yang menabrak truk boks Isuzu di Km 472+800, pada Sabtu (15/4) pukul 15.00 WIB, di Tol Semarang - Boyolali menewaskan tiga orang dan menyebabkan satu orang luka ringan.",0
"Balai Besar Karantina Pertanian Belawan memfasilitasi ekspor tepung larva sebanyak 17,8 ton ke Amerika Serikat. Larva lalat yang diolah menjadi tepung ini merupakan komoditas sub sektor peternakan asal Sumatera Utara (Sumut) yang baru pertama kalinya diekspor.",0
"Gubernur Sumatera Utara (Sumut) Edy Rahmayadi mengatakan dua jalan tol yakni Medan-Sinaksak dan Tebingtinggi-Indrapura akan difungsionalkan pada mudik Lebaran tahun 2023, meski pengerjaannya masih berlangsung.",0
Badan Nasional Pencarian dan Pertolongan (Basarnas) Lampung dalam operasi siaga SAR khusus Lebaran 1444 H telah memetakan 12 titik rawan bencana jalur mudik di wilayah Provinsi Lampung.,0
"Jumlah penumpang kapal di wilayah Pelindo Regional IV naik 130 persen sepekan sebelum Lebaran Idulfitri 1444 Hijriah, dibandingkan dengan tahun lalu. ",0
"Anggota DPRD Kota Tanjungbalai, Sumatera Utara Mukmin Mulyadi diduga terlibat dalam kasus narkoba jenis ekstasi.",0
Pemprov Sulawesi Selatan memperbaiki sejumlah ruas jalan yang akan dilalui oleh para pemudik di masa libur Idulfitri 2023. Salah titik jalur mudik yang menjadi perhatian pemerintah adalah jalur Makassar-Bone.,0
Kejaksaan Tinggi Daerah Istimewa Yogyakarta (DIY) menahan seorang tersangka kasus mafia tanah berinisial RS (33) terkait penyalahgunaan tanah kas desa (TKD).,0
"Atap PAUD Melati yang menumpang di Gedung PKK Kelurahan Jagalan, Solo, Jawa Tengah, ambruk pada Kamis (13/4) malam.",0
Yayasan Advokasi Rakyat Aceh (YARA) melaporkan Direktur Reserse Kriminal Khusus (Dir Reskrimsus) Polda Aceh ke Propam Mabes Polri terkait dugaan dihentikannya kasus penyelidikan penyelundup BBM Ilegal sebanyak 24 ton di Kabupaten Nagan Raya.,0
"Polisi mengamankan setidaknya lima demonstran saat ricuh dalam unjuk rasa menolak Undang-Undang Cipta Kerja (Ciptaker) yang digelar mahasiswa di depan Kantor Gubernur Jawa Tengah, Semarang, Kamis (13/4) petang.",0
"Gempa bumi berkekuatan Magnitudo 6,6 yang mengguncang wilayah Tuban, Jawa Timur, pada Jumat (14/4) sore terasa hingga Bali.",0
"LBH Padang, WCC Nurani Perempuan, PKBI Sumbar dan OPSI Sumbar mengecam tindakan persekusi yang dilakukan sekelompok masyarakat terhadap dua perempuan di Nagari Pasir Putih Kambang, Pesisir Selatan (Pessel), Sumatera Barat (Sumbar).",0
Kapolda Sumatera Utara Irjen Pol Panca Putra Simanjuntak mengatakan penyidik Ditresnarkoba telah turun ke Tanjungbalai untuk melakukan penangkapan anggota DPR Tanjungbalai Mukmin Mulyadi yang menjadi buronan dalam kasus narkoba.,0
"Bandara Internasional Sultan Hasanuddin, Makassar, diprediksi bakal mengalami lonjakan para penumpang di terminal kedatangan pada H-3 Lebaran. Di momen puncak tersebut, Angkasa Pura II memperkirakan jumlah penumpang mencapai 35 ribu orang.",0
"Sejumlah fasilitas hingga markas polisi di Makassar, Sulawesi Selatan, menjadi sasaran amuk sejumlah orang tak dikenal (OTK) pada Kamis (13/4) malam sampai Jumat (14/4) dini hari WITA.",0
"Seorang pria nekat membakar istri siri dan dua anak di rumahnya, Jalan Dukuh Bulu, Lontar, Kecamatan Sambikerep, Surabaya, Jumat (14/4) dini hari.",0
"Satu unit sepeda motor dinas milik polisi dibakar, dua mobil dinas Satlantas Polrestabes Makassar dirusak, satu warga menjadi korban pengeroyokan sejumlah orang tak dikenal (OTK) pada Kamis (13/3) malam hingga Jumat (14/4) dini hari.",0
"Jembatan Wampu di Kabupaten Langkat, Sumatera Utara siap digunakan menjelang Idulfitri 2023. Jembatan Wampu merupakan penghubung Jalan Lintas Medan- Banda Aceh.",0
"Para pemudik mulai memenuhi Pelabuhan Soekarno Hatta Makassar, Sulawesi Selatan, Kamis (13/4). Pelni Makassar mencatat lonjakan peningkatan penumpang mencapai hingga 40 persen dengan total 2.300 pemudik yang menumpangi tiga kapal dari Pelabuhan Makassar.",0
"Pelabuhan Merak, Banten mulai dipadati pemudik yang akan menyeberang ke Pelabuhan Bakauheni. Kemacetan 2 kilometer terjadi di luar pelabuhan pada Kamis (13/4) malam.",0
"Seorang bandar narkoba HA (50) kabur dari ruang tahanan Mapolres Jeneponto, Sulawesi Selatan dibantu oleh istri dan seorang anggota polisi. ",0
"Masjid yang berada di samping pos Satuan Lalu Lintas (Satlantas) Polrestabes Makassar, Sulawesi Selatan dirusak sejumlah orang tak dikenal (OTK) yang mengendarai sepeda motor.",0
"Wakil Ketua DPRD Jawa Timur Sahat Tua Simanjuntak, tersangka korupsi pengelolaan dana hibah Pemprov Jatim, dilimpahkan penyidik Komisi Pemberantasan Korupsi (KPK) ke tahanan Kejaksaan Tinggi Jatim.",0
Gubernur Sulawesi Selatan Andi Sudirman Sulaiman meminta proyek kereta api Makassar-Parepare terus berjalan dan tidak boleh tersendat setelah ada operasi tangkap tangan (OTT) KPK.,0
"Wali Kota Makassar Mohammad Ramdhan Pomanto menjalani pemeriksaan sebagai saksi kasus dugaan korupsi di Perusahaan Daerah Air Minum (PDAM) setempat di Kejaksaan Tinggi (Kejati) Sulawesi Selatan, Kamis (13/4).",0
"Longsor akibat hujan deras terjadi di sejumlah lokasi di Blitar, Jawa Timur, Kamis (13/4) pagi. Satu warga bernama Slamet (69) meninggal dunia akibat rumahnya tertimpa material tanah longsor.",0
"Polisi mengamankan lima demonstran saat ricuh dalam unjuk rasa menolak Undang-Undang Cipta Kerja (Ciptaker) yang digelar mahasiswa di depan Kantor Gubernur Jawa Tengah, Semarang, Kamis (13/4) petang.",0
"Polres Bangkalan, Jawa Timur, menetapkan seorang kepala desa berinisial G (47) sebagai tersangka kasus pembacokan buntut pilkades yang menewaskan dua korban.",0
"Kepala Divisi Keimigrasian Kantor Wilayah Kementerian Hukum dan HAM (Kemenkumham) Bali, Barron Ichsan mengatakan pihaknya sedang menelusuri identitas warga negara Taiwan yang mengaku diperas oleh petugas Bea Cukai Ngurah Rai, Bali. WN Taiwan itu disebutkan berinisial L.",0
"Jumlah penumpang di Bandar Udara Internasional Juanda Surabaya diperkirakan naik 18 persen pada masa mudik atau libur Lebaran Idulfitri 1444 Hijriah, dibandingkan tahun lalu.",0
"Majelis hakim Pengadilan Simpang Tiga Redelong, Kabupaten Bener Meriah, Aceh, memvonis mantan Bupati Bener Meriah Ahmadi dengan hukuman satu tahun enam bulan penjara karena terbukti bersalah terlibat penjualan kulit harimau.",0
Gubernur Sumatera Barat (Sumbar) Mahyeldi mengizinkan aparatur sipil negara (ASN) menggunakan kendaraan dinas selama libur Lebaran 2023. Kebijakan itu bahkan sudah diterapkan sejak satu tahun yang lalu.,0
"Sejumlah orang simpatisan Wali Kota Makassar, Mohammad Ramdhan Pomanto nekat memanjat pagar kantor Kejaksaan Tinggi (Kejati) Sulawesi Selatan. Mereka tak terima Randhan diperiksa terkait kasus dugaan korupsi penggunaan dana Perusahaan Daerah Air Minum (PDAM) Makassar.",0
"Seorang turis asal Rusia ditangkap usai berfoto dalam keadaan telanjang di salah satu pohon suci di Pura Pemaksan Babakan, Tabanan, Bali.",0
Seorang anggota TNI AL Serka Hanif Widiantoro jadi korban perampokan saat menumpangi travel tujuan Jakarta-Semarang.,0
Polda Jawa Tengah enggan membuka proses penyidikan terkait kasus pungli dan calo seleksi Bintara Polda Jawa Tengah dalam sidang praperadilan yang digelar di Pengadilan Negeri Semarang pada Rabu (12/4).,0
"Tim Detasemen Khusus (Densus) 88 Anti Teror Mabes Polri, dikabarkan terlibat baku tembak dengan kelompok terduga teroris di Lampung dalam upaya penangkapan, Rabu (12/4) malam.",0
"Dua perempuan di Kabupaten Pesisir Selatan, Sumatera Barat (Sumbar) diduga mengalami persekusi dari sekelompok pemuda pada Sabtu (8/4) malam sekitar pukul 23.30 WIB.",0
Badan Narkotika Nasional (BNN) Jawa Barat menyatakan sedang memeriksa Kepala BNN Kota Tasikmalaya yang diduga meminta tunjangan hari raya (THR) untuk Lebaran 2023 kepada Perusahaan Otobus (PO) Bus Budiman Tasikmalaya.,0
Golkar memecat Wakil Ketua DPRD Sulawesi Utara James Arthur Konjongian (JAK) dari jabatannya sebagai pimpinan DPRD dan struktur organisasi partai. Pemecatan itu menyusul video dugaan penganiayan James terhadap seorang wanita yang viral di media sosial.,0
"Kepolisian Daerah Istimewa Yogyakarta (DIY) menggelar rekonstruksi kasus pembunuhan disertai mutilasi oleh pria berinisial HP (24), terhadap korbannya perempuan berinisial A (34), Rabu (12/4).",0
"Sebuah video viral di media sosial memperlihatkan seorang dokter muda ribut dengan pengunjung di RSUD dr Pringadi, Medan, Sumatera Utara.",0
"Empat orang yang kena operasi tangkap tangan (OTT) Komisi Pemberantasan Korupsi (KPK) di Semarang, Jawa Tengah, pada Selasa (11/4) malam telah dibawa ke Jakarta untuk pemeriksaan lebih lanjut.",0
"KPK mengamankan enam orang di Semarang terkait dugaan suap proyek Track Layout (TLO) Stasiun Tegal, Jawa Tengah. Mereka langsung jalani pemeriksaan usai kena operasi tangkap tangan (OTT) KPK pada Selasa (11/4) malam.",0
"PT Angkutan Sungai Danau dan Penyebrangan (ASDP) Pelabuhan Padangbai Bali menyiapkan 23 unit armada kapal ke tujuan Pelabuhan Lembar, Lombok, Nusa Tenggara Barat (NTB) pulang-pergi, untuk angkutan mudik Lebaran 2023.",0
"Pengadilan Tinggi Kupang, Nusa Tenggara Timur (NTT), mengabulkan sebagian gugatan seorang perempuan bernama Windy Ekaputri Datta terhadap Carlos Daud Hendrik. Gugatan itu dilayangkan Windy karena Carlos batal menikahinya.",0
"Ketua Badan Kehormatan (BK) DPRD Sulawesi Utara, Syeni Kalangi menanggapi video viral diduga Wakil Ketua DPRD Sulut, inisial JAK atas kasus dugaan penganiayaan seorang perempuan.",0
Ikatan Dokter Indonesia (IDI) cabang Medan menilai wacana pemberlakuan Surat Tanda Registrasi (STR) seumur hidup bagi para dokter dan tenaga kesehatan akan menyulitkan pengawasan.,0
"Video seorang pria yang mengaku sebagai penjual narkoba di Malang, Jawa Timur beredar di media sosial. Dia juga menantang akan membunuh polisi yang ingin menangkapnya.",0
"Harga daging sapi di pasar tradisional Sumatra Utara (Sumut) naik menjadi Rp160.000 per kg jelang Lebaran, padahal biasanya daging sapi dijual Rp125.000 per kg.",0
"Pemerintah Kabupaten Lumajang bakal membangun masjid dan gereja berdampingan dalam satu area di Desa Sumberjati, Kecamatan Tempeh, Kabupaten Lumajang, Jawa Timur.",0
Menko PMK Muhadjir Effendy meminta kapal yang akan beroperasi di perairan Selat Sunda selama arus mudik dan balik harus laik jalan.,0
PT Pelni Cabang Makassar menyiapkan 100 ribu tiket kapal untuk memenuhi kebutuhan arus mudik Lebaran 2023.,0
"Bupati Lumajang Thoriqul Haq memastikan Gereja Pantekosta di Desa Tempeh Tengah, Kecamatan Tempeh dibangun tahun ini. Gereja itu akan dibangun berdampingan dengan Masjid Ghoiru Jami.",0
Tim DVI Polda Jawa Tengah berhasil mengidentifikasi empat jasad korban pembunuhan berantai dukun palsu Mbah Slamet di Banjarnegara.,0
"Jenazah menantu Wakil Presiden Ma'ruf Amin, Muhammad Rapsel Ali, dimakamkan di Taman Makam Pahlawan (TMP) Makassar, Sulawesi Selatan, dengan upacara militer, Senin (10/4) pagi ini.",0
"Wakil Presiden RI Ma'ruf Amin bakal ke Makassar, Sulawesi Selatan, setelah menerima informasi menantunya, Muhammad Rapsel Ali meninggal dunia pada Minggu (9/4).",0
"Kecelakaan beruntun melibatkan truk yang membawa alat berat menghantam tujuh kendaraan lainnya, rumah warga dan empat orang pejalan kaki di ruas jalan Padang Panjang-Bukittinggi, Kabupaten Tanah Datar, Sumatera Barat.",0
Gubernur Jawa Timur Khofifah Indar Parawansa mengimbau masyarakat agar tidak melakukan panic buying atau memborong bahan pokok yang ada di pasaran jelang Lebaran Idulfitri 1444 H yang makin dekat.,0
"Bibit Siklon Tropis 98S telah terpantau di sekitar Laut Timor, sebelah barat daya Saumlaki. Kecepatan angin maksimum di sekitar sistemnya mencapai 30 knot atau 56 km/jam.",0
"Kereta pengangkut Bahan Bakar Minyak atau KA BBM No 2636 dari Madiun tujuan Stasiun Beteng Surabaya, anjlok di Perlintasan Sepanjang, Sidoarjo, Jawa Timur, Sabtu (8/4) petang.",0
"Video seorang Warga Negara Asing (WNA) yang merupakan penyandang disabilitas tidak bisa mengambil paket alat kesehatan (alkes) berupa alat bantuan kencing dari Bea Cukai Ngurah Rai, Bali, viral di media sosial.",0
"Baterai aki pada alat sensor getaran atau seismograf di salah satu stasiun pemantauan Gunung Marapi, Sumatera Barat, hilang dicuri. Akibatnya, informasi aktivitas gunung api dari Stasiun Guguak Solang berhenti sementara.",0
Presiden Joko Widodo (Jokowi) tertangkap kamera ikut Salat Jumat bersama Gubernur Ganjar Pranowo di Solo.,0
Balai Besar Pelaksanaan Jalan Nasional (BBPJN) Jawa Timur-Bali mengungkap kondisi infrastruktur jalan dan jembatan sebagai jalur Lebaran 2023.,0
Uji coba sistem rekayasa lalu lintas satu arah (one way) rute Padang-Bukittinggi diberlakukan pada Sabtu (8/4) selama empat jam untuk mengantisipasi arus mudik dan liburan.,0
