berita,label
"Balai Penyelidikan dan Pengembangan Teknologi Kebencanaan Geologi (BPPTKG) memastikan gempa berkekuatan magnitudo 5.6 yang mengguncang Pacitan, Jawa Timur, Senin (9/1) malam tak sampai memengaruhi aktivitas Gunung Merapi di wilayah perbatasan antara Daerah Istimewa Yogyakarta (DIY) dan Jawa Tengah.",0
"Usai gempa magnitudo 5,6 pada Senin malam (9/1), warga Pacitan, Jawa Timur disebut berbondong-bondong mengevakuasi diri ke tempat yang lebih tinggi.",0
Polisi menetapkan DA (30) dan pasangannya Hagai (31) sebagai tersangka dugaan kasus penyebaran berita bohong.,0
"Penyidik Subdit Renakta Ditreskrimum Polda Jawa Timur membeberkan motif Kekerasan Dalam Rumah Tangga (KDRT) yang diduga dialami aktris Venna Melinda dari suaminya, Ferry Irawan.",0
"Aipda Dwi Hartono, anggota Polres Sungai Hulu Utara, dihukum push up setelah video tutorial bermain lato-lato yang dibuatnya viral. Selain itu, ia juga membuat video permintaan maaf.",0
"Penyidik Propam Polda Jatim memeriksa tujuh saksi terkait kasus dugaan polisi di Kabupaten Pamekasan, Madura, mengajak rekan menyetubuhi istrinya sendiri.",0
Ketua Majelis Pertimbangan Partai Persatuan Pembangunan (PPP) Romahurmuziy alias Romi mengaku dijebak hingga ditangkap Komisi Pemberantasan Korupsi (KPK) dan dihukum penjara.,0
Majelis Ulama Indonesia (MUI) Sulawesi Selatan menguatkan maklumat yang telah dikeluarkan oleh MUI Makassar terkait keberadaan aliran Hakikinya Hakiki yang dinyatakan sesat.,0
"Kelompok bersenjata dilaporkan menembaki pesawat sipil yang hendak mendarat di Bandara Oksibil, Kabupaten Pegunungan Bintang, Papua, Senin (9/1).",0
"Seorang anggota Polda Bali berpangkat Aipda dengan inisial IPJS (37) menjadi korban pengeroyokan dan penusukan di Jalan Legian, Kecamatan Kuta, Kabupaten Badung, SEnin (9/1).",0
"Anggota Polres Sumba Barat, Biptu ER telah ditetapkan sebagai tersangka kasus penembakan yang menewaskan Ferdinandus Lango Bili, warga Nusa Tenggara Timur (NTT).",0
Seorang polisi berpangkat Briptu dengan inisial ER di Nusa Tenggara Timur (NTT) menembak warga saat menghadiri pesta ulang tahun.,0
"Chesta Khadafi (10) didapuk sebagai pemenang lomba permainan lato-lato. Chesta menang usai mampu memainkan permainan tradisional itu dengan durasi 2 jam 7 menit. Lomba tersebut dihelat di Desa Siwalanpanji, Kecamatan Buduran, Kabupaten Sidoarjo, Jawa Timur, Minggu (8/1).",0
Ketua Majelis Pertimbangan PPP Romahurmuziy alias Romi menyatakan menjadi politisi merupakan sebuah panggilan hidup.,0
